country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",11-07-2026 14:00,25.42742023,86.13886079,PM10,2,79,35
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-07-2026 14:00,16.5150833,80.5181667,OZONE,16,47,31
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",11-07-2026 14:00,14.675886,77.593027,SO2,9,17,10
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",11-07-2026 14:00,14.675886,77.593027,OZONE,19,27,21
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",11-07-2026 14:00,13.20488,79.097889,CO,13,16,14
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-07-2026 14:00,26.80365,84.51954,PM10,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-07-2026 14:00,26.80365,84.51954,NH3,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",11-07-2026 14:00,25.251013,86.989001,SO2,9,48,27
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",11-07-2026 14:00,24.762518,84.982348,SO2,8,9,9
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",11-07-2026 14:00,24.762518,84.982348,CO,11,25,19
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",11-07-2026 14:00,25.610369,85.132568,NO2,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",11-07-2026 14:00,25.610369,85.132568,SO2,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",11-07-2026 14:00,25.366336,87.117468,SO2,13,17,16
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",11-07-2026 14:00,25.366336,87.117468,CO,55,57,56
